Group,N_features,Accuracy_%,RPS,RMSE,Î”Acc_%,Î”RPS,Î”RMSE
FIFA Rankings,3,42.2,0.2405,1.4922,-6.2,0.0169,0.067
Rest & Match Count,4,46.9,0.2254,1.4225,-1.5,0.0018,-0.0027
Form-5,14,50.0,0.2242,1.4142,1.6,0.0006,-0.011
H2H,3,48.4,0.2236,1.4252,0.0,0.0,0.0
Kalman,10,50.0,0.2231,1.4197,1.6,-0.0005,-0.0055
Elo,3,48.4,0.223,1.4003,0.0,-0.0006,-0.0249
Form-2,14,48.4,0.2229,1.4087,0.0,-0.0007,-0.0165
Neighbourhood Perf,12,50.0,0.2195,1.4225,1.6,-0.0041,-0.0027
Neighbourhood Basic,9,45.3,0.2186,1.4059,-3.1,-0.005,-0.0193
PageRank / HITS,12,48.4,0.2098,1.3975,0.0,-0.0138,-0.0277
