Group,N_features,Accuracy_%,RPS,RMSE,dAcc_%,dRPS,dRMSE
FIFA Rankings,3,62.5,0.1681,1.5,-6.3,0.0304,0.1537
Neighbourhood Basic,9,62.5,0.1491,1.2748,-6.3,0.0114,-0.0715
Elo,3,62.5,0.1397,1.311,-6.3,0.002,-0.0353
Kalman,10,68.8,0.1396,1.2119,0.0,0.0019,-0.1344
Form-2,14,68.8,0.1383,1.2247,0.0,0.0006,-0.1216
Form-5,14,68.8,0.1381,1.3463,0.0,0.0004,0.0
Neighbourhood Perf,12,68.8,0.138,1.3807,0.0,0.0003,0.0344
Rest & Match Count,4,68.8,0.1352,1.3919,0.0,-0.0025,0.0456
H2H,3,62.5,0.1335,1.3463,-6.3,-0.0042,0.0
PageRank / HITS,12,75.0,0.1227,1.3807,6.2,-0.015,0.0344
