Group,N_features,Accuracy_%,RPS,RMSE,dAcc_%,dRPS,dRMSE
FIFA Rankings,3,50.0,0.1547,1.4895,-12.5,0.0291,0.0211
Neighbourhood Basic,9,62.5,0.139,1.311,0.0,0.0134,-0.1574
Elo,3,56.2,0.1322,1.447,-6.3,0.0066,-0.0214
Form-5,14,68.8,0.1303,1.479,6.3,0.0047,0.0106
Form-2,14,68.8,0.1287,1.447,6.3,0.0031,-0.0214
H2H,3,56.2,0.1257,1.4684,-6.3,0.0001,0.0
Rest & Match Count,4,56.2,0.125,1.4361,-6.3,-0.0006,-0.0323
Neighbourhood Perf,12,62.5,0.1245,1.479,0.0,-0.0011,0.0106
Kalman,10,75.0,0.1237,1.447,12.5,-0.0019,-0.0214
PageRank / HITS,12,68.8,0.1198,1.4252,6.3,-0.0058,-0.0432
