team,fifa_points
Brazil,1841.3
Belgium,1815.7
Argentina,1773.9
France,1759.4
England,1737.6
Spain,1716.6
Portugal,1678.2
Netherlands,1664.5
Denmark,1665.9
Germany,1650.8
Uruguay,1638.8
Switzerland,1621.7
United States,1627.8
Croatia,1616.8
Mexico,1621.7
Senegal,1596.8
Wales,1574.0
Poland,1565.1
Morocco,1556.4
Japan,1552.6
Serbia,1549.6
Iran,1544.2
South Korea,1537.6
Ecuador,1529.2
Canada,1523.7
Australia,1488.8
Costa Rica,1506.1
Saudi Arabia,1480.2
Tunisia,1430.4
Cameroon,1447.0
Ghana,1393.4
Qatar,1438.9
Italy,1720.0
Colombia,1501.4
Chile,1481.3
Peru,1482.2
Bolivia,1411.0
Paraguay,1424.0
Venezuela,1386.0
Sweden,1601.2
Norway,1558.4
Turkey,1517.5
Czech Republic,1543.6
Austria,1524.1
Ukraine,1574.1
Russia,1527.2
Hungary,1511.5
Slovakia,1479.0
Romania,1443.8
Greece,1453.2
Scotland,1540.1
Republic of Ireland,1466.3
Northern Ireland,1449.7
Iceland,1500.5
Finland,1449.3
Albania,1429.3
Bulgaria,1388.5
Bosnia and Herzegovina,1450.3
North Macedonia,1434.6
Slovenia,1394.2
Montenegro,1385.4
Georgia,1391.2
Armenia,1387.5
Kosovo,1359.9
Luxembourg,1393.4
Israel,1383.5
Cyprus,1310.6
Kazakhstan,1332.8
Azerbaijan,1348.2
Belarus,1338.7
Lithuania,1277.6
Latvia,1307.5
Estonia,1278.4
Moldova,1251.8
Faroe Islands,1317.6
Malta,1241.7
Andorra,1146.4
Gibraltar,1126.3
Liechtenstein,1075.2
San Marino,794.5
Nigeria,1484.1
Egypt,1468.0
Ivory Coast,1461.7
Algeria,1412.7
Mali,1389.2
Burkina Faso,1386.4
Cape Verde,1375.5
South Africa,1392.1
DR Congo,1368.4
Congo,1323.2
Guinea,1370.8
Zambia,1332.9
Uganda,1324.6
Mozambique,1293.4
Zimbabwe,1320.1
Tanzania,1288.4
Kenya,1302.5
Ethiopia,1285.3
Madagascar,1291.9
Benin,1315.6
Rwanda,1295.4
Equatorial Guinea,1278.5
Guinea-Bissau,1293.7
Gabon,1318.2
Malawi,1252.2
Mauritania,1282.1
Namibia,1261.1
Libya,1256.0
Central African Republic,1228.8
Togo,1258.7
Gambia,1318.2
Sudan,1233.2
Comoros,1268.3
Botswana,1224.7
Angola,1253.3
Eswatini,1179.0
Lesotho,1139.7
Liberia,1214.4
Sierra Leone,1262.7
Chad,1143.7
Niger,1157.5
Djibouti,1025.8
Eritrea,1009.9
São Tomé and Príncipe,934.1
Seychelles,1038.5
Somalia,882.1
South Sudan,1085.7
Japan,1552.6
South Korea,1537.6
Iran,1544.2
Saudi Arabia,1480.2
Qatar,1438.9
Uzbekistan,1374.4
Iraq,1381.0
United Arab Emirates,1348.9
Jordan,1340.2
Oman,1317.7
Syria,1295.9
China PR,1346.0
Bahrain,1285.2
Lebanon,1262.0
Palestine,1261.5
India,1302.2
Kyrgyzstan,1274.6
Tajikistan,1249.8
Thailand,1272.9
Vietnam,1255.3
Indonesia,1243.4
Philippines,1246.4
Malaysia,1208.1
Singapore,1170.9
Myanmar,1183.0
North Korea,1246.9
Taiwan,1180.4
Cambodia,1143.4
Mongolia,1044.4
Pakistan,1113.3
Sri Lanka,1058.5
Laos,1073.8
Nepal,1093.8
Bangladesh,1074.0
Maldives,1086.7
Macau,1020.5
Bhutan,902.8
Guam,1063.5
Hong Kong,1159.1
Timor-Leste,991.1
Brunei,974.3
United States,1627.8
Canada,1523.7
Costa Rica,1506.1
Panama,1443.2
Honduras,1397.5
El Salvador,1381.8
Jamaica,1399.6
Trinidad and Tobago,1382.1
Haiti,1333.3
Cuba,1254.8
Guatemala,1338.1
Nicaragua,1245.5
Belize,1148.0
Dominican Republic,1262.8
Curaçao,1311.4
Bermuda,1178.5
Barbados,1177.6
Antigua and Barbuda,1161.1
Saint Kitts and Nevis,1164.2
Saint Vincent and the Grenadines,1152.5
Puerto Rico,1192.7
Grenada,1195.4
Dominica,1114.7
Turks and Caicos Islands,932.9
Anguilla,907.1
Cayman Islands,966.9
British Virgin Islands,915.3
Montserrat,887.0
Bahamas,932.7
New Zealand,1385.9
Fiji,1219.1
Papua New Guinea,1138.4
Solomon Islands,1115.7
Tahiti,1128.6
New Caledonia,1168.4
Cook Islands,981.3
United States Virgin Islands,912.4
Afghanistan,1085.0
Yemen,1074.3
Kuwait,1229.5
