date,team_A,team_B,goals_A,goals_B
2014-06-12,Brazil,Croatia,3,1
2014-06-13,Chile,Australia,3,1
2014-06-13,Mexico,Cameroon,1,0
2014-06-13,Spain,Netherlands,1,5
2014-06-14,Colombia,Greece,3,0
2014-06-14,England,Italy,1,2
2014-06-14,Ivory Coast,Japan,2,1
2014-06-14,Uruguay,Costa Rica,1,3
2014-06-15,Argentina,Bosnia and Herzegovina,2,1
2014-06-15,France,Honduras,3,0
2014-06-15,Switzerland,Ecuador,2,1
2014-06-16,Ghana,United States,1,2
2014-06-16,Iran,Nigeria,0,0
2014-06-16,Germany,Portugal,4,0
2014-06-17,Belgium,Algeria,2,1
2014-06-17,Brazil,Mexico,0,0
2014-06-17,Russia,South Korea,1,1
2014-06-18,Australia,Netherlands,2,3
2014-06-18,Cameroon,Croatia,0,4
2014-06-18,Spain,Chile,0,2
2014-06-19,Colombia,Ivory Coast,2,1
2014-06-19,Japan,Greece,0,0
2014-06-19,Uruguay,England,2,1
2014-06-20,Switzerland,France,2,5
2014-06-20,Honduras,Ecuador,1,2
2014-06-20,Italy,Costa Rica,0,1
2014-06-21,Nigeria,Bosnia and Herzegovina,1,0
2014-06-21,Germany,Ghana,2,2
2014-06-21,Argentina,Iran,1,0
2014-06-22,Belgium,Russia,1,0
2014-06-22,South Korea,Algeria,2,4
2014-06-22,United States,Portugal,2,2
2014-06-23,Australia,Spain,0,3
2014-06-23,Brazil,Cameroon,4,1
2014-06-23,Croatia,Mexico,1,3
2014-06-23,Netherlands,Chile,2,0
2014-06-24,Costa Rica,England,0,0
2014-06-24,Greece,Ivory Coast,2,1
2014-06-24,Italy,Uruguay,0,1
2014-06-24,Japan,Colombia,1,4
2014-06-25,Nigeria,Argentina,2,3
2014-06-25,Honduras,Switzerland,0,3
2014-06-25,Ecuador,France,0,0
2014-06-25,Bosnia and Herzegovina,Iran,3,1
2014-06-26,Algeria,Russia,1,1
2014-06-26,South Korea,Belgium,0,1
2014-06-26,Portugal,Ghana,2,1
2014-06-26,United States,Germany,0,1
2014-06-28,Brazil,Chile,1,1
2014-06-28,Colombia,Uruguay,2,0
2014-06-29,Costa Rica,Greece,1,1
2014-06-29,Netherlands,Mexico,2,1
2014-06-30,France,Nigeria,2,0
2014-06-30,Germany,Algeria,2,1
2014-07-01,Argentina,Switzerland,1,0
2014-07-01,Belgium,United States,2,1
2014-07-04,France,Germany,0,1
2014-07-04,Brazil,Colombia,2,1
2014-07-05,Argentina,Belgium,1,0
2014-07-05,Netherlands,Costa Rica,0,0
2014-07-08,Brazil,Germany,1,7
2014-07-09,Netherlands,Argentina,0,0
2014-07-12,Brazil,Netherlands,0,3
2014-07-13,Germany,Argentina,1,0
2015-03-12,Cambodia,Macau,3,0
2015-03-12,Timor-Leste,Mongolia,0,3
2015-03-12,India,Nepal,2,0
2015-03-12,Sri Lanka,Bhutan,0,1
2015-03-12,Yemen,Pakistan,3,1
2015-03-12,Taiwan,Brunei,0,1
2015-03-17,Nepal,India,0,0
2015-03-17,Mongolia,Timor-Leste,3,0
2015-03-17,Brunei,Taiwan,0,2
2015-03-17,Bhutan,Sri Lanka,2,1
2015-03-17,Macau,Cambodia,1,1
2015-03-22,Barbados,United States Virgin Islands,0,1
2015-03-23,Pakistan,Yemen,0,0
2015-03-23,Nicaragua,Anguilla,5,0
2015-03-23,Saint Kitts and Nevis,Turks and Caicos Islands,6,2
2015-03-25,Bahamas,Bermuda,0,5
2015-03-26,United States Virgin Islands,Barbados,0,4
2015-03-26,Dominica,British Virgin Islands,3,2
2015-03-26,Turks and Caicos Islands,Saint Kitts and Nevis,2,6
2015-03-27,Curaçao,Montserrat,2,1
2015-03-29,Cayman Islands,Belize,1,1
2015-03-29,Dominica,British Virgin Islands,0,0
2015-03-29,Bermuda,Bahamas,3,0
2015-03-29,Anguilla,Nicaragua,0,3
2015-03-31,Montserrat,Curaçao,2,2
2015-05-24,Thailand,Vietnam,1,0
2015-06-07,Nicaragua,Suriname,1,0
2015-06-10,Curaçao,Cuba,0,0
2015-06-10,Antigua and Barbuda,Saint Lucia,1,3
2015-06-10,Aruba,Barbados,0,2
2015-06-10,Saint Vincent and the Grenadines,Guyana,2,2
2015-06-11,Saint Kitts and Nevis,El Salvador,2,2
2015-06-11,Dominica,Canada,0,2
2015-06-11,Yemen,North Korea,0,3
2015-06-11,Tajikistan,Jordan,1,3
2015-06-11,Saudi Arabia,Palestine,3,2
2015-06-11,Philippines,Bahrain,2,1
2015-06-11,Maldives,Qatar,0,1
2015-06-11,Malaysia,Timor-Leste,3,0
2015-06-11,Hong Kong,Bhutan,7,0
2015-06-11,Laos,Myanmar,2,2
2015-06-11,India,Oman,1,2
2015-06-11,Guam,Turkmenistan,1,0
2015-06-11,Dominican Republic,Belize,1,2
2015-06-11,Cambodia,Singapore,0,4
2015-06-11,Bangladesh,Kyrgyzstan,1,3
2015-06-11,Afghanistan,Syria,0,6
2015-06-11,Lebanon,Kuwait,0,1
2015-06-12,Puerto Rico,Grenada,1,0
2015-06-12,Guatemala,Bermuda,0,0
2015-06-14,Guyana,Saint Vincent and the Grenadines,4,4
2015-06-14,Belize,Dominican Republic,3,0
2015-06-14,Antigua and Barbuda,Saint Lucia,4,1
2015-06-14,Barbados,Aruba,0,3
2015-06-14,Cuba,Curaçao,1,1
2015-06-15,Bermuda,Guatemala,0,1
2015-06-16,Taiwan,Thailand,0,2
2015-06-16,El Salvador,Saint Kitts and Nevis,4,1
2015-06-16,Canada,Dominica,4,0
2015-06-16,Yemen,Philippines,0,2
2015-06-16,Suriname,Nicaragua,1,3
2015-06-16,Malaysia,Palestine,0,6
2015-06-16,Laos,Lebanon,0,2
2015-06-16,Kyrgyzstan,Australia,1,2
2015-06-16,North Korea,Uzbekistan,4,2
2015-06-16,Turkmenistan,Iran,1,1
2015-06-16,Hong Kong,Maldives,2,0
2015-06-16,Guam,India,2,1
