date,group,team_A,team_B,kickoff_utc
2026-06-11,A,MEX,RSA,2026-06-11 19:00:00+00
2026-06-12,A,KOR,CZE,2026-06-12 02:00:00+00
2026-06-19,A,MEX,KOR,2026-06-19 01:00:00+00
2026-06-18,A,CZE,RSA,2026-06-18 16:00:00+00
2026-06-25,A,CZE,MEX,2026-06-25 01:00:00+00
2026-06-25,A,RSA,KOR,2026-06-25 01:00:00+00
2026-06-12,B,CAN,BIH,2026-06-12 19:00:00+00
2026-06-13,B,QAT,SUI,2026-06-13 19:00:00+00
2026-06-18,B,CAN,QAT,2026-06-18 23:00:00+00
2026-06-18,B,SUI,BIH,2026-06-18 19:00:00+00
2026-06-24,B,SUI,CAN,2026-06-24 19:00:00+00
2026-06-24,B,BIH,QAT,2026-06-24 19:00:00+00
2026-06-13,C,BRA,MAR,2026-06-13 22:00:00+00
2026-06-13,C,HAI,SCO,2026-06-13 17:00:00+00
2026-06-20,C,BRA,HAI,2026-06-20 00:30:00+00
2026-06-19,C,SCO,MAR,2026-06-19 16:00:00+00
2026-06-24,C,SCO,BRA,2026-06-24 22:00:00+00
2026-06-24,C,MAR,HAI,2026-06-24 22:00:00+00
2026-06-13,D,USA,PAR,2026-06-13 01:00:00+00
2026-06-13,D,AUS,TUR,2026-06-13 23:00:00+00
2026-06-20,D,USA,AUS,2026-06-20 03:00:00+00
2026-06-19,D,TUR,PAR,2026-06-19 20:00:00+00
2026-06-26,D,TUR,USA,2026-06-26 02:00:00+00
2026-06-26,D,PAR,AUS,2026-06-26 02:00:00+00
2026-06-14,E,GER,CUW,2026-06-14 17:00:00+00
2026-06-14,E,CIV,ECU,2026-06-14 20:00:00+00
2026-06-20,E,GER,CIV,2026-06-20 20:00:00+00
2026-06-21,E,ECU,CUW,2026-06-21 00:00:00+00
2026-06-25,E,ECU,GER,2026-06-25 20:00:00+00
2026-06-25,E,CUW,CIV,2026-06-25 20:00:00+00
2026-06-14,F,NED,JPN,2026-06-14 20:00:00+00
2026-06-14,F,SWE,TUN,2026-06-14 23:00:00+00
2026-06-20,F,NED,SWE,2026-06-20 23:00:00+00
2026-06-21,F,TUN,JPN,2026-06-21 04:00:00+00
2026-06-25,F,TUN,NED,2026-06-25 23:00:00+00
2026-06-25,F,JPN,SWE,2026-06-25 23:00:00+00
2026-06-15,G,BEL,EGY,2026-06-15 19:00:00+00
2026-06-15,G,IRN,NZL,2026-06-15 22:00:00+00
2026-06-21,G,BEL,IRN,2026-06-21 19:00:00+00
2026-06-22,G,NZL,EGY,2026-06-22 01:00:00+00
2026-06-27,G,NZL,BEL,2026-06-27 03:00:00+00
2026-06-27,G,EGY,IRN,2026-06-27 03:00:00+00
2026-06-15,H,ESP,CPV,2026-06-15 16:00:00+00
2026-06-15,H,KSA,URU,2026-06-15 22:00:00+00
2026-06-21,H,ESP,KSA,2026-06-21 16:00:00+00
2026-06-21,H,URU,CPV,2026-06-21 22:00:00+00
2026-06-27,H,URU,ESP,2026-06-27 00:00:00+00
2026-06-27,H,CPV,KSA,2026-06-27 00:00:00+00
2026-06-16,I,FRA,SEN,2026-06-16 19:00:00+00
2026-06-16,I,IRQ,NOR,2026-06-16 22:00:00+00
2026-06-22,I,FRA,IRQ,2026-06-22 17:00:00+00
2026-06-22,I,NOR,SEN,2026-06-22 20:00:00+00
2026-06-26,I,NOR,FRA,2026-06-26 19:00:00+00
2026-06-26,I,SEN,IRQ,2026-06-26 19:00:00+00
2026-06-17,J,ARG,ALG,2026-06-17 01:00:00+00
2026-06-17,J,AUT,JOR,2026-06-17 04:00:00+00
2026-06-22,J,ARG,AUT,2026-06-22 17:00:00+00
2026-06-23,J,JOR,ALG,2026-06-23 03:00:00+00
2026-06-28,J,JOR,ARG,2026-06-28 02:00:00+00
2026-06-28,J,ALG,AUT,2026-06-28 02:00:00+00
2026-06-17,K,POR,COD,2026-06-17 17:00:00+00
2026-06-17,K,UZB,COL,2026-06-17 20:00:00+00
2026-06-23,K,POR,UZB,2026-06-23 17:00:00+00
2026-06-23,K,COL,COD,2026-06-23 20:00:00+00
2026-06-27,K,COL,POR,2026-06-27 23:30:00+00
2026-06-27,K,COD,UZB,2026-06-27 23:30:00+00
2026-06-17,L,ENG,CRO,2026-06-17 20:00:00+00
2026-06-17,L,GHA,PAN,2026-06-17 23:00:00+00
2026-06-23,L,ENG,GHA,2026-06-23 20:00:00+00
2026-06-23,L,PAN,CRO,2026-06-23 23:00:00+00
2026-06-27,L,PAN,ENG,2026-06-27 21:00:00+00
2026-06-27,L,CRO,GHA,2026-06-27 21:00:00+00
