date,team_A,team_B,goals_A,goals_B
2026-06-11,Mexico,South Africa,,
2026-06-12,South Korea,Czech Republic,,
2026-06-19,Mexico,South Korea,,
2026-06-18,Czech Republic,South Africa,,
2026-06-25,Czech Republic,Mexico,,
2026-06-25,South Africa,South Korea,,
2026-06-12,Canada,Bosnia and Herzegovina,,
2026-06-13,Qatar,Switzerland,,
2026-06-18,Canada,Qatar,,
2026-06-18,Switzerland,Bosnia and Herzegovina,,
2026-06-24,Switzerland,Canada,,
2026-06-24,Bosnia and Herzegovina,Qatar,,
2026-06-13,Brazil,Morocco,,
2026-06-13,Haiti,Scotland,,
2026-06-20,Brazil,Haiti,,
2026-06-19,Scotland,Morocco,,
2026-06-24,Scotland,Brazil,,
2026-06-24,Morocco,Haiti,,
2026-06-13,United States,Paraguay,,
2026-06-13,Australia,Turkey,,
2026-06-20,United States,Australia,,
2026-06-19,Turkey,Paraguay,,
2026-06-26,Turkey,United States,,
2026-06-26,Paraguay,Australia,,
2026-06-14,Germany,Curacao,,
2026-06-14,Ivory Coast,Ecuador,,
2026-06-20,Germany,Ivory Coast,,
2026-06-21,Ecuador,Curacao,,
2026-06-25,Ecuador,Germany,,
2026-06-25,Curacao,Ivory Coast,,
2026-06-14,Netherlands,Japan,,
2026-06-14,Sweden,Tunisia,,
2026-06-20,Netherlands,Sweden,,
2026-06-21,Tunisia,Japan,,
2026-06-25,Tunisia,Netherlands,,
2026-06-25,Japan,Sweden,,
2026-06-15,Belgium,Egypt,,
2026-06-15,Iran,New Zealand,,
2026-06-21,Belgium,Iran,,
2026-06-22,New Zealand,Egypt,,
2026-06-27,New Zealand,Belgium,,
2026-06-27,Egypt,Iran,,
2026-06-15,Spain,Cape Verde,,
2026-06-15,Saudi Arabia,Uruguay,,
2026-06-21,Spain,Saudi Arabia,,
2026-06-21,Uruguay,Cape Verde,,
2026-06-27,Uruguay,Spain,,
2026-06-27,Cape Verde,Saudi Arabia,,
2026-06-16,France,Senegal,,
2026-06-16,Iraq,Norway,,
2026-06-22,France,Iraq,,
2026-06-22,Norway,Senegal,,
2026-06-26,Norway,France,,
2026-06-26,Senegal,Iraq,,
2026-06-17,Argentina,Algeria,,
2026-06-17,Austria,Jordan,,
2026-06-22,Argentina,Austria,,
2026-06-23,Jordan,Algeria,,
2026-06-28,Jordan,Argentina,,
2026-06-28,Algeria,Austria,,
2026-06-17,Portugal,DR Congo,,
2026-06-17,Uzbekistan,Colombia,,
2026-06-23,Portugal,Uzbekistan,,
2026-06-23,Colombia,DR Congo,,
2026-06-27,Colombia,Portugal,,
2026-06-27,DR Congo,Uzbekistan,,
2026-06-17,England,Croatia,,
2026-06-17,Ghana,Panama,,
2026-06-23,England,Ghana,,
2026-06-23,Panama,Croatia,,
2026-06-27,Panama,England,,
2026-06-27,Croatia,Ghana,,
